       TaskID   GiftID	GiftType   TaskType   RequestTime   TaskArrival    TT    Responsible
        181         76          1          D         76         75          4      Santa
        182         80          1          C         79         79          2       ElfB
        183         77          3          C         80         76          1       ElfA
        184         75          3          D         78         74          3      Santa
        185         82          1          C         81         81          1       ElfB
        186         74          2          P         73         73         11       ElfA
        187         79          1          D         80         78          2      Santa
        188         83          3          A         82         82          2       ElfB
        189         80          1          D         81         79          2      Santa
        190         77          3          D         81         76          3      Santa
        191         84          1          C         83         83          2       ElfB
        192         85          1          C         84         84          1       ElfA
        193         82          1          D         82         81          3      Santa
        194         83          3          C         84         82          2       ElfB
        195         74          2          C         84         73          2       ElfA
        196         84          1          D         85         83          1      Santa
        197         86          1          C         85         85          2       ElfB
        198         87          1          C         86         86          1       ElfA
        199         85          1          D         85         84          2      Santa
        200         78          2          P         77         77         13       ElfA
        201         83          3          D         86         82          2      Santa
        202         89          1          C         88         88          1       ElfB
        203         74          2          D         86         73          3      Santa
        204         90          3          A         89         89          2       ElfB
        205         86          1          D         87         85          3      Santa
        206         91          1          C         90         90          1       ElfA
        207         87          1          D         87         86          4      Santa
        208         78          2          C         90         77          2       ElfB
        209         90          3          C         91         89          1       ElfA
        210         89          1          D         89         88          3      Santa
        211         92          1          C         91         91          2       ElfB
        212         93          1          C         92         92          1       ElfA
        213         91          1          D         91         90          2      Santa
        214         94          3          A         93         93          2       ElfB
        215         81          2          P         80         80         16       ElfA
        216         78          2          D         92         77          2      Santa
        217         90          3          D         92         89          3      Santa
        218         95          1          C         94         94          2       ElfB
        219         92          1          D         93         91          3      Santa
        220         94          3          C         95         93          2       ElfB
        221         81          2          C         96         80          1       ElfA
        222         93          1          D         93         92          4      Santa
        223         96          3          A         95         95          4       ElfB
        224         88          2          P         87         87         13       ElfA
        225         95          1          D         96         94          2      Santa
        226         94          3          D         97         93          2      Santa
        227         96          3          C         99         95          1       ElfB
        228         81          2          D         97         80          3      Santa
        229        101          1          C        100        100          1       ElfA
        230         88          2          C        100         87          1       ElfB
        231         96          3          D        100         95          1      Santa
        232         99          2          P         98         98          6       ElfA
        233         97          3          A         96         96          7       ElfB
        234         65          4          Q         64         64         38      Santa
        235        101          1          D        101        100          2      Santa
        236         65          4          C        102         64          2       ElfB
        237         88          2          D        101         87          3      Santa
        238         97          3          C        103         96          2       ElfA
        239         99          2          C        104         98          1       ElfB
        240         65          4          D        104         64          1      Santa
        241        106          1          C        105        105          1       ElfA
        242         98          3          A         97         97         10       ElfB
        243         97          3          D        105         96          1      Santa
        244        100          2          P         99         99         10       ElfA
        245         66          4          Q         65         65         42      Santa
        246         98          3          C        107         97          1       ElfB
        247         99          2          D        105         98          3      Santa
        248         66          4          C        107         65          2       ElfB
        249        106          1          D        106        105          3      Santa
        250        100          2          C        109         99          1       ElfA
        251        102          5          A        101        101         10       ElfB
        252         98          3          D        108         97          2      Santa
        253        111          1          C        110        110          1       ElfA
        254         66          4          D        109         65          2      Santa
        255        112          1          C        111        111          1       ElfB
        256        103          2          P        102        102         12       ElfA
        257        100          2          D        110         99          2      Santa
        258        108          3          A        107        107          7       ElfB
        259        111          1          D        111        110          2      Santa
        260        112          1          D        112        111          2      Santa
        261        114          1          C        113        113          2       ElfB
        262        108          3          C        114        107          1       ElfA
        263        102          5          Q        101        101         14      Santa
        264        103          2          C        114        102          2       ElfB
        265        104          2          P        103        103         15       ElfA
        266        114          1          D        115        113          1      Santa
        267        102          5          C        115        101          2       ElfB
        268        108          3          D        115        107          2      Santa
        269        110          3          A        109        109         10       ElfB
        270        103          2          D        116        102          2      Santa
        271        119          1          C        118        118          1       ElfA
        272        102          5          D        117        101          2      Santa
        273        104          2          C        118        103          2       ElfA
        274        110          3          C        119        109          1       ElfB
        275        119          1          D        119        118          1      Santa
